,Query_num,query,model_type,NF,preference_type,MOO_method,opt_acc,opt_cost,opt_mem,comp_time,work,output_flag
9815,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",OrderOpt,DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,0.949509482,22.0482939,234175,2556.615829,0.145815462,2
9816,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,0.921912261,75,20515,454.7481537,0.004654712,2
9817,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",OrderOpt,DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,0.943822346,22.04826883,81190,1761.289597,0.13448249,2
9818,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,0.94268696,95,68875,392.3130035,0.004774897,2
9819,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",OrderOpt,DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,0.943822346,22.0482923,81190,1757.282257,0.143364985,2
9820,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,DNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,0.94268696,95,68875,957.4127197,0.005302062,2
9821,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",OrderOpt,DNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,0.942571176,22.04824279,70495,2133.571625,0.150961298,2
9822,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,DNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,0.921912261,75,20515,188.3602142,0.004657199,2
9823,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",OrderOpt,DNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,0.942571176,22.04824279,70495,1004.293442,0.109279436,2
9824,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,DNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,0.921912261,75,20515,251.2931824,0.005778082,2
9825,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",OrderOpt,DNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,0.942571176,22.04824279,70495,1255.054474,0.133051387,2
9935,1,"[['sheep'], ['fork'], ['couch', 'horse']]",ModelOpt,CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,0.622935389,121,858375,674.3621826,0.005389208,2
9936,1,"[['sheep'], ['fork'], ['couch', 'horse']]",OrderOpt,CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,0.620019935,23.19987135,860770,3420.381546,0.172984357,2
9937,1,"[['sheep'], ['fork'], ['couch', 'horse']]",ModelOpt,CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,0.622935389,121,858375,2008.049011,0.006793429,2
9938,1,"[['sheep'], ['fork'], ['couch', 'horse']]",OrderOpt,CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,0.620019935,23.19987135,860770,4656.093597,0.217335074,2
9939,1,"[['sheep'], ['fork'], ['couch', 'horse']]",ModelOpt,CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,0.622935389,121,858375,266.4699554,0.00468212,2
9940,1,"[['sheep'], ['fork'], ['couch', 'horse']]",OrderOpt,CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,0.620019935,23.1998,860770,3404.785156,0.176075722,2
9941,1,"[['sheep'], ['fork'], ['couch', 'horse']]",ModelOpt,CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,0.514847785,94,70890,1413.749695,0.004961605,2
