,query,NF,preference_type,MOO_method,zoo,trial,comp_time,work,output_flag
46,"[['skis', 'cat', 'bird'], ['horse', 'truck'], ['bed']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,61.62858009338379,0.01583730772223351,2
47,"[['bicycle'], ['donut', 'baseball_bat'], ['elephant'], ['apple'], ['bus']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,63.43984603881836,0.015550486460211338,2
48,"[['sports_ball', 'kite', 'pizza'], ['umbrella'], ['suitcase', 'skateboard']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,52.09159851074219,0.014585488738839258,2
49,"[['fire_hydrant', 'tennis_racket', 'kite'], ['pizza', 'tie'], ['cup']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,75.38270950317383,0.014964742868147455,2
50,"[['loc'], ['positive', 'society'], ['entertainment', 'business', 'per']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,32.25517272949219,0.002943716715391868,2
51,"[['computers'], ['per', 'society', 'science'], ['health'], ['negative']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,20.2939510345459,0.00252215787772224,2
52,"[['health', 'per'], ['family', 'computers'], ['politics'], ['entertainment']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,19.96898651123047,0.0022089060950262656,2
53,"[['family', 'science', 'negative'], ['positive'], ['education'], ['org']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,39.82400894165039,0.004106508761144955,2
54,"[['misc'], ['society', 'entertainment'], ['loc', 'education'], ['computers']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,32.27353096008301,0.003210714477042369,2
55,"[['health', 'computers'], ['negative'], ['science'], ['neutral', 'society']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,29.813289642333984,0.003014530240127004,2
56,"[['entertainment', 'sports', 'politics'], ['society', 'computers'], ['neutral']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,31.67867660522461,0.0022490717560387334,2
57,"[['computers', 'business'], ['negative'], ['family', 'health', 'per']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,52.037954330444336,0.0034237255427559767,2
58,"[['neutral', 'sports', 'negative'], ['entertainment'], ['loc', 'business']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,50.23956298828125,0.004801200001177236,2
