,query,NF,preference_type,MOO_method,model_selection,model_ordering,num_pred,opt_acc,opt_cost,opt_mem,comp_time,work,output_flag,actual_cost,actual_f1
57,( person | dog ) & ( dining_table | couch ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",lexicographic,"{'person': 'model_71', 'dog': 'model_71', 'dining_table': 'model_71', 'couch': 'model_71'}","['person', 'dog', 'dining_table', 'couch']",4,0.911595838,86,135686683,15.00535011,0.007082287,2,82,0.678
58,( person | dog ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",lexicographic,"{'person': 'model_66', 'dog': 'model_66', 'dining_table': 'model_66', 'couch': 'model_66'}","['person', 'dog', 'dining_table', 'couch']",4,0.910795976,85,135686683,12.996912,0.006858148,2,82,0.662
59,( person | dog ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",lexicographic,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",4,0.950309962,18,142909075,0.997781754,0.000542372,2,18,0.756
60,( person | dog ) & ( dining_table | couch ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_min_max,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",4,0.950309962,18,142909075,16.99781418,0.007172024,2,18,0.756
61,( person | dog ) & ( dining_table | couch ),CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_min_max,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",4,0.950309962,18,142909075,10.99967957,0.005292782,2,18,0.756
62,( person | dog ) & ( dining_table | couch ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_min_max,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",4,0.950309962,18,142909075,18.00084114,0.008702798,2,18,0.756
63,( person | dog ) & ( dining_table | couch ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_min_max,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",4,0.950309962,18,142909075,16.99781418,0.008607926,2,18,0.756
64,( person | dog ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_min_max,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",4,0.950309962,18,142909075,18.00465584,0.008605973,2,18,0.756
65,( person | dog ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_min_max,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",4,0.950309962,18,142909075,10.00165939,0.005084059,2,18,0.756
66,( person | dog ) & ( dining_table | couch ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",greedy_MOO,"{'person': 'model_66', 'dog': 'model_66', 'dining_table': 'model_66', 'couch': 'model_66'}","['person', 'dog', 'dining_table', 'couch']",4,0.910795976,85,135686683,12.99977303,0.00759235,2,82,0.662
