,query,NF,preference_type,MOO_method,model_selection,model_ordering,opt_acc,opt_cost,opt_mem,comp_time,work,output_flag
69,( person | dog ) & ( dining_table | couch ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",greedy_MOO,"{'person': 'model_66', 'dog': 'model_66', 'dining_table': 'model_66', 'couch': 'model_66'}","['person', 'dog', 'dining_table', 'couch']",0.9107959761249991,85.0,135686683.0,12.974739074707031,0.0075923503505304045,2
70,( person | dog ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",greedy_MOO,"{'person': 'model_66', 'dog': 'model_66', 'dining_table': 'model_66', 'couch': 'model_66'}","['person', 'dog', 'dining_table', 'couch']",0.9107959761249991,85.0,135686683.0,13.004541397094727,0.0075923503505304045,2
71,( person | dog ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",greedy_MOO,"{'person': 'model_66', 'dog': 'model_66', 'dining_table': 'model_66', 'couch': 'model_66'}","['person', 'dog', 'dining_table', 'couch']",0.9107959761249991,85.0,135686683.0,13.001680374145508,0.0075923503505304045,2
72,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,"{'person': 'model_16', 'bottle': 'model_16', 'chair': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",0.8867252451276222,18.0,142909075.0,17.97628402709961,0.012608724120210186,2
73,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,"{'person': 'model_16', 'bottle': 'model_16', 'chair': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",0.8867252451276222,18.0,142909075.0,18.96381378173828,0.012576273820210182,2
74,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,"{'person': 'model_16', 'bottle': 'model_16', 'chair': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",0.8867252451276222,18.0,142909075.0,19.97065544128418,0.012813778645587606,2
75,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,"{'person': 'model_16', 'bottle': 'model_16', 'chair': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",0.8867252451276222,18.0,142909075.0,18.99552345275879,0.012775154859370596,2
76,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,"{'person': 'model_16', 'bottle': 'model_16', 'chair': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",0.8867252451276222,18.0,142909075.0,18.962621688842773,0.012690435938728694,2
77,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,"{'person': 'model_16', 'bottle': 'model_16', 'chair': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",0.8867252451276222,18.0,142909075.0,18.9669132232666,0.012576230920210183,2
78,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",lexicographic,"{'person': 'model_11', 'bottle': 'model_16', 'chair': 'model_11', 'dining_table': 'model_11', 'couch': 'model_16'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",0.89647154901952,42.0,705967558.0,4.000186920166016,0.0015212860315263381,2
79,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",lexicographic,"{'person': 'model_16', 'bottle': 'model_16', 'chair': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",0.8867252451276241,17.999999999999886,142909075.0,0.99945068359375,0.0006558603800904978,2
80,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",lexicographic,"{'person': 'model_11', 'bottle': 'model_16', 'chair': 'model_11', 'dining_table': 'model_11', 'couch': 'model_16'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",0.89647154901952,42.0,705967558.0,4.038810729980469,0.001551103361223309,2
81,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",lexicographic,"{'person': 'model_71', 'bottle': 'model_71', 'chair': 'model_71', 'dining_table': 'model_71', 'couch': 'model_71'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",0.8012888951184519,86.0,135686683.0,12.996196746826172,0.008580271159314031,2
82,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",lexicographic,"{'person': 'model_66', 'bottle': 'model_66', 'chair': 'model_66', 'dining_table': 'model_66', 'couch': 'model_66'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",0.8011005989174999,85.0,135686683.0,17.002344131469727,0.009236396222527789,2
